temperature_c,vibration_mm_s,pressure_bar,hours_since_maintenance,load_percent,failure
72.0,5.08,7.37,340,46.6,no
66.9,3.0,8.49,338,94.9,no
73.2,2.7,6.68,632,69.6,no
80.2,4.88,7.24,348,65.6,no
66.1,,7.56,804,56.8,no
66.1,5.2,6.36,796,47.2,no
80.6,4.86,7.05,569,84.3,no
74.1,4.1,6.81,438,73.1,no
64.2,3.01,6.91,625,52.7,no
72.3,2.08,5.95,114,52.6,no
64.3,3.57,6.83,836,67.0,no
64.3,5.4,7.35,600,97.0,no
69.9,4.5,8.4,337,68.1,no
52.7,2.46,7.86,255,49.5,no
54.2,4.44,9.17,353,68.3,no
63.5,4.74,5.96,395,67.9,no
59.9,2.96,7.76,478,31.5,no
70.5,4.42,7.0,156,71.2,no
60.7,4.28,9.21,607,68.5,no
56.7,2.6,5.91,566,82.4,no
79.7,4.7,5.88,532,99.7,no
66.2,4.99,6.14,315,88.9,no
68.5,,4.46,339,68.0,no
56.6,5.68,6.22,591,55.4,no
63.6,2.27,5.96,851,100.0,no
68.9,2.89,6.97,368,72.9,no
58.8,4.92,7.18,859,72.2,no
71.0,4.92,8.86,798,71.6,no
63.2,4.92,7.85,892,75.0,no
65.7,9.59,6.17,248,69.8,no
63.2,5.0,5.81,289,63.4,no
82.8,5.79,7.34,847,63.8,yes
67.9,5.54,5.35,817,71.5,yes
59.5,5.11,8.81,310,63.8,no
74.6,3.76,8.1,744,61.3,no
58.2,5.26,6.28,184,73.6,no
69.7,3.12,4.92,24,68.2,no
52.3,3.87,8.29,870,94.6,no
57.4,3.52,6.67,398,32.2,no
69.6,4.31,8.16,97,88.4,no
73.9,7.44,5.05,429,90.7,yes
69.4,1.59,6.14,593,40.9,no
,5.16,6.81,151,66.9,no
65.6,1.94,6.85,620,66.4,no
56.2,3.54,6.3,768,50.9,no
62.2,5.72,7.49,61,60.3,no
64.3,4.29,5.63,108,55.3,no
76.5,2.69,6.64,421,98.3,no
70.7,3.2,6.93,315,86.0,no
53.9,5.15,7.37,859,91.1,no
70.6,3.18,7.58,314,82.8,no
64.9,4.5,5.56,635,55.1,no
,4.26,5.11,545,64.1,no
72.9,3.29,8.21,819,79.3,no
76.2,7.2,7.17,710,53.7,yes
75.5,5.09,5.98,656,82.7,no
61.3,1.36,8.51,441,68.4,no
65.5,4.46,6.93,884,66.4,no
70.7,3.27,8.1,42,82.7,no
75.8,5.39,6.87,594,78.7,no
64.2,3.09,9.07,162,66.6,no
66.5,4.04,8.73,684,89.4,no
59.1,4.91,6.53,164,55.8,no
58.4,5.41,7.87,244,81.2,no
74.5,2.52,7.51,522,80.9,no
78.8,3.73,8.31,840,67.4,no
67.4,3.54,5.74,635,76.9,no
76.0,3.29,7.55,123,53.2,no
,6.67,7.96,58,85.9,no
62.8,4.77,4.87,217,69.2,no
70.9,2.43,5.5,665,64.2,no
80.3,5.49,4.56,598,87.7,yes
67.7,7.17,,410,61.4,no
80.5,5.65,7.59,198,50.9,no
47.0,2.07,8.45,573,48.7,no
74.6,3.52,6.88,467,81.1,no
68.7,5.97,8.59,519,52.8,no
65.6,3.21,5.28,34,98.3,no
68.7,4.82,4.93,642,40.8,no
52.1,5.28,6.74,688,97.4,yes
66.2,2.9,7.22,308,75.2,no
70.9,4.12,6.76,497,70.5,no
79.8,-0.34,4.53,250,63.8,no
63.9,2.77,6.7,439,78.0,no
61.5,3.85,5.37,176,71.4,no
64.0,2.45,7.54,569,88.5,no
75.3,6.49,7.2,460,73.7,no
70.6,2.2,5.77,116,74.3,no
63.8,3.58,,430,66.5,no
72.1,4.38,5.63,308,71.1,no
68.8,6.22,6.73,273,76.6,no
75.7,2.19,7.85,215,46.3,no
62.4,5.83,5.72,617,51.8,no
65.4,4.21,7.35,853,83.1,no
64.9,2.83,6.22,541,74.6,no
56.3,4.85,5.93,536,69.2,no
70.4,4.48,6.68,654,72.3,no
70.1,3.36,5.66,861,77.2,no
68.0,4.3,6.19,884,63.9,no
66.1,3.66,5.48,137,60.3,no
56.7,4.36,8.96,825,74.9,no
64.6,5.13,6.84,178,57.3,no
65.3,6.42,6.03,834,78.1,no
61.6,2.47,7.04,247,46.5,no
66.7,7.19,6.68,896,87.4,yes
71.2,1.47,6.56,235,79.1,no
83.1,3.99,7.48,715,75.8,no
69.4,5.02,7.63,34,86.7,no
70.1,4.59,6.22,176,97.0,no
67.4,3.33,6.17,667,87.2,no
52.6,3.91,6.5,280,44.4,no
67.8,3.51,4.27,176,52.8,no
68.5,3.37,5.13,66,62.6,no
87.7,5.39,8.3,343,72.4,no
66.5,4.7,8.61,863,79.8,no
70.4,3.23,6.53,704,61.1,no
67.7,5.46,7.43,149,74.8,no
58.7,4.63,7.14,430,60.7,no
77.1,5.34,10.19,114,62.8,no
74.0,5.08,8.03,646,50.9,no
74.3,3.04,6.66,774,58.2,no
60.7,,5.75,311,51.7,no
79.2,5.25,5.03,813,57.4,yes
56.8,5.05,7.02,830,87.8,no
,4.17,5.97,302,57.8,no
85.5,4.36,5.24,88,100.0,yes
60.1,5.99,6.09,679,79.4,no
63.5,3.37,5.61,30,74.8,no
68.8,4.97,8.66,273,59.1,no
64.0,3.92,7.77,861,82.5,no
55.6,3.9,6.79,891,63.4,no
68.5,5.74,8.43,569,73.8,no
59.5,5.36,6.89,153,100.0,no
71.8,5.34,5.85,731,70.6,no
60.6,6.03,8.48,42,89.2,no
80.4,4.23,7.39,834,61.5,no
61.7,5.15,5.66,365,71.5,no
65.4,3.77,6.59,321,98.6,no
74.5,4.65,5.84,382,62.6,no
58.2,4.02,5.28,415,99.2,no
69.8,4.34,7.82,237,82.6,no
78.5,5.03,8.9,160,63.6,no
55.1,3.05,5.26,635,81.5,no
69.5,7.13,7.42,229,86.6,no
70.1,2.79,6.08,642,81.3,no
74.3,,6.26,635,48.4,no
58.1,5.82,6.15,847,61.1,no
57.4,5.31,5.85,702,68.3,no
72.2,5.07,6.85,479,70.9,no
70.4,5.08,5.89,375,81.3,no
70.0,4.18,7.1,343,74.7,no
70.8,2.94,6.74,152,52.0,no
62.6,4.31,6.54,824,77.7,no
69.9,3.25,5.8,859,81.2,no
70.3,5.57,6.17,146,80.4,no
62.3,3.99,7.63,125,88.2,no
82.9,3.04,7.35,623,84.5,no
71.8,3.75,,818,78.9,no
58.5,4.78,6.91,397,70.9,no
73.3,3.41,7.63,70,47.1,no
60.2,3.05,4.96,48,78.4,no
74.3,4.54,7.4,481,75.1,no
77.3,4.54,6.07,315,76.1,no
61.4,3.49,7.43,316,52.8,no
75.7,3.54,5.96,745,55.8,no
71.3,4.52,4.81,798,87.8,yes
74.6,2.17,5.01,426,71.4,no
83.2,2.23,6.85,788,82.2,no
66.0,3.19,7.09,833,72.4,no
62.0,3.9,,632,72.4,no
60.9,4.64,7.5,424,86.1,no
61.5,6.27,4.97,365,64.3,no
67.4,5.4,6.73,641,73.4,no
70.7,3.98,5.47,439,65.1,no
70.2,4.17,6.08,201,65.5,no
74.6,2.8,6.85,844,67.4,no
68.1,4.17,5.85,20,75.3,no
79.6,3.8,6.38,850,64.8,no
65.9,4.65,7.91,586,90.8,no
89.8,3.04,6.17,390,58.6,no
